alpha,lambda,misclassification,up,down
0,0.018843234053570624,0.20802077322562032,0.21633425678950732,0.19970728966173332
0.05,8.706062926554383e-4,0.18032313906520483,0.1891719853181853,0.17147429281222437
0.1,4.3530314632771915e-4,0.18349682631275246,0.18899917655885243,0.1779944760666525
0.15000000000000002,0.004729571106937282,0.18118869013271782,0.1883373800819243,0.17404000018351135
0.2,1.0340213055845247e-4,0.18147720715522217,0.18708933437256942,0.17586507993787492
0.25,0.0028377426641623686,0.18234275822273513,0.1892958136752354,0.17538970277023486
0.30000000000000004,5.857754381487943e-4,0.18147720715522217,0.18757034737479752,0.17538406693564682
0.35000000000000003,7.810944641387132e-5,0.1829197922677438,0.18951589665308616,0.17632368788240144
0.4,4.821658651683419e-4,0.18118869013271782,0.18754422037338112,0.17483315989205453
0.45,5.53547699235363e-5,0.18032313906520483,0.19007357229136074,0.17057270583904893
0.5,6.585817331321315e-5,0.18061165608770918,0.18546742492055773,0.17575588725486063
0.55,0.0011752933759203161,0.1820542412002308,0.1888576139564271,0.1752508684440345
0.6000000000000001,0.002997796664058925,0.18349682631275246,0.19158696537209388,0.17540668725341105
0.65,0.0027671969206697765,0.18234275822273513,0.19089590847485016,0.1737896079706201
0.7000000000000001,1.7303669466064823e-4,0.17945758799769188,0.1869324603841122,0.17198271561127154
0.75,3.097442621798435e-4,0.18147720715522217,0.18979166060601627,0.17316275370442807
0.8,7.362324417578851e-4,0.18147720715522217,0.18781278421387054,0.1751416300965738
0.8500000000000001,2.999505400243549e-4,0.18118869013271782,0.18730866405295193,0.1750687162124837
0.9,1.7791225422947117e-4,0.18061165608770918,0.1855016168482772,0.17572169532714116
0.9500000000000001,8.007416956004105e-5,0.17945758799769188,0.18535396936972293,0.17356120662566082
1,4.777446657099147e-5,0.1809001731102135,0.18572223204769256,0.17607811417273445
