gamma,cost,misclassification
2.803293849113551e-4,0.03663730795396823,0.36959071146574274
2.803293849113551e-4,0.1022511344482782,0.36959071146574274
2.803293849113551e-4,1.912560140035138,0.28764471689627025
2.803293849113551e-4,2.0100761987290503,0.2833186187136646
2.803293849113551e-4,24.346398692761078,0.18464543319285034
0.005348259242987447,0.03663730795396823,0.36959071146574274
0.005348259242987447,0.1022511344482782,0.29226399693491695
0.005348259242987447,1.912560140035138,0.18464543319285034
0.005348259242987447,2.0100761987290503,0.18464543319285034
0.005348259242987447,24.346398692761078,0.18262647632056772
0.013105802401142778,0.03663730795396823,0.3121678799287035
0.013105802401142778,0.1022511344482782,0.26427262580999816
0.013105802401142778,1.912560140035138,0.18550998650697137
0.013105802401142778,2.0100761987290503,0.18550998650697137
0.013105802401142778,24.346398692761078,0.17916326564608284
0.019867976821329694,0.03663730795396823,0.2890864719894721
0.019867976821329694,0.1022511344482782,0.24811680631673635
0.019867976821329694,1.912560140035138,0.1814720727624061
0.019867976821329694,2.0100761987290503,0.1814729056654062
0.019867976821329694,24.346398692761078,0.18060168912728425
1.5556354721379764,0.03663730795396823,0.36959071146574274
1.5556354721379764,0.1022511344482782,0.36959071146574274
1.5556354721379764,1.912560140035138,0.37103329946194463
1.5556354721379764,2.0100761987290503,0.37103329946194463
1.5556354721379764,24.346398692761078,0.37103329946194463
