train_error,test_error,learning_rate,gamma,depth
0.16786396289897243,0.16972168458966852,0.7293822881765664,0.226569103154353,2
0.09632560543119295,0.10146247554778143,0.7293822881765664,0.226569103154353,4
0.03702783686016364,0.052133682478238796,0.7293822881765664,0.226569103154353,6
0.010133584103868665,0.03949615492097669,0.7293822881765664,0.226569103154353,8
4.701947537798512e-4,0.03600815591459061,0.7293822881765664,0.226569103154353,10
1.9961098037812874e-5,0.03571835184284344,0.7293822881765664,0.226569103154353,12
1.9961098037812874e-5,0.041214279060620806,0.7293822881765664,0.226569103154353,14
0.16786396289897243,0.16972168458966852,0.7293822881765664,0.2532632896442305,2
0.09742568372305527,0.1046192699007421,0.7293822881765664,0.2532632896442305,4
0.0381345688513719,0.052972044257221795,0.7293822881765664,0.2532632896442305,6
0.009237552591948583,0.03988946044691932,0.7293822881765664,0.2532632896442305,8
5.63346544623089e-4,0.035262945444383464,0.7293822881765664,0.2532632896442305,10
2.2178997819755075e-5,0.03553204922529163,0.7293822881765664,0.2532632896442305,12
4.435799563962117e-5,0.03987911030149971,0.7293822881765664,0.2532632896442305,14
0.16786396289897243,0.16972168458966852,0.7293822881765664,0.314596095128089,2
0.09742568372305527,0.10462962004616161,0.7293822881765664,0.314596095128089,4
0.04030811063771278,0.05637724210025152,0.7293822881765664,0.314596095128089,6
0.009188758796744967,0.03924775143090764,0.7293822881765664,0.314596095128089,8
6.986384313238947e-4,0.03772628005423473,0.7293822881765664,0.314596095128089,10
3.3268496729688124e-5,0.03590465446039515,0.7293822881765664,0.314596095128089,12
2.2178997819755075e-5,0.036660215076021796,0.7293822881765664,0.314596095128089,14
0.1620042716749801,0.16559197656727076,0.9085960856173187,0.226569103154353,2
0.09041933831177906,0.09880248817495885,0.9085960856173187,0.226569103154353,4
0.03496519006292187,0.053396400219423046,0.9085960856173187,0.226569103154353,6
0.006265566884094742,0.04098657586139087,0.9085960856173187,0.226569103154353,8
9.315179084312675e-5,0.03839903950650503,0.9085960856173187,0.226569103154353,10
2.88326971656927e-5,0.03984805986524109,0.9085960856173187,0.226569103154353,12
1.1089498909933049e-5,0.04177318691327614,0.9085960856173187,0.226569103154353,14
0.1620042716749801,0.16559197656727076,0.9085960856173187,0.2532632896442305,2
0.090421556211561,0.09879213802953934,0.9085960856173187,0.2532632896442305,4
0.03355682370136426,0.05150232360764673,0.9085960856173187,0.2532632896442305,6
0.005786500531187011,0.03728122380119436,0.9085960856173187,0.2532632896442305,8
2.2178997819799484e-4,0.03885444590496501,0.9085960856173187,0.2532632896442305,10
8.871599127879826e-6,0.03953755550265481,0.9085960856173187,0.2532632896442305,12
1.552529847381745e-5,0.04077957295299994,0.9085960856173187,0.2532632896442305,14
0.1620042716749801,0.16559197656727076,0.9085960856173187,0.314596095128089,2
0.09029513592398819,0.09744661912499875,0.9085960856173187,0.314596095128089,4
0.0329513370608836,0.051026216918347744,0.9085960856173187,0.314596095128089,6
0.0055358778558232125,0.039475454630137574,0.9085960856173187,0.314596095128089,8
1.6634248364855164e-4,0.04033451669995969,0.9085960856173187,0.314596095128089,10
7.097279302337167e-5,0.04113147789726446,0.9085960856173187,0.314596095128089,12
1.330739869187525e-5,0.0467619570054959,0.9085960856173187,0.314596095128089,14
0.17424929637129416,0.17700818696502685,0.5000069923698902,0.226569103154353,2
0.11148051464146536,0.11762940269310784,0.5000069923698902,0.226569103154353,4
0.0544849260441318,0.06797975511555943,0.5000069923698902,0.226569103154353,6
0.018532770578228663,0.04016891437324699,0.5000069923698902,0.226569103154353,8
0.003147199790630273,0.034331432356624614,0.5000069923698902,0.226569103154353,10
3.4599236598897853e-4,0.033741474067710664,0.5000069923698902,0.226569103154353,12
1.9517518081424434e-4,0.034207230611590145,0.5000069923698902,0.226569103154353,14
0.17424929637129416,0.17700818696502685,0.5000069923698902,0.2532632896442305,2
0.10958864612743613,0.11376879845161825,0.5000069923698902,0.2532632896442305,4
0.05297675419238501,0.06588902574081168,0.5000069923698902,0.2532632896442305,6
0.018109151719870376,0.04110042746100584,0.5000069923698902,0.2532632896442305,8
0.003169378788450028,0.0324580560356873,0.5000069923698902,0.2532632896442305,10
2.084825795061196e-4,0.032571907635302266,0.5000069923698902,0.2532632896442305,12
1.9961098037812874e-5,0.0343107320657855,0.5000069923698902,0.2532632896442305,14
0.17424929637129416,0.17700818696502685,0.5000069923698902,0.314596095128089,2
0.11067541702060646,0.11565252491797506,0.5000069923698902,0.314596095128089,4
0.052990061591077,0.06587867559539207,0.5000069923698902,0.314596095128089,6
0.017246388704679982,0.04047941873583327,0.5000069923698902,0.314596095128089,8
0.003455487860325568,0.03473508802798675,0.5000069923698902,0.314596095128089,10
3.659534640267914e-4,0.03280996097995181,0.5000069923698902,0.314596095128089,12
3.548639651174135e-5,0.03409337901197507,0.5000069923698902,0.314596095128089,14
