train_error,test_error,forest_size
0.03194441055986441,0.16117246447312583,100
0.03029207522228905,0.16031340240330372,200
0.029864020564366767,0.15847107651862513,300
0.02968437068202634,0.15849177680946414,400
0.029402697409714795,0.15868842957243545,500
0.029378300512113098,0.15839862550068828,600
0.029158728433697045,0.15782936750261345,700
0.02924079072563024,0.15782936750261345,800
0.02931841721799955,0.15837792520984917,900
0.02920752222890055,0.15765341503048114,1e3
0.029134331536095237,0.15781901735719384,1100
0.029216393828028542,0.15746711241292943,1200
0.029160946333478988,0.15766376517590075,1300
0.02903452604590606,0.15747746255834894,1400
0.029038961845470057,0.15735326081331447,1500
0.029183125331298743,0.15782936750261345,1600
0.02921417592824649,0.15812952171978012,1700
0.029061140843289812,0.15787076808429157,1800
0.028861529862911572,0.1574153616858317,1900
0.029065576642853808,0.15763271473964213,2e3
0.029043397645034053,0.1574153616858317,2100
0.02908553774089162,0.15764306488506163,2200
0.029116588337839366,0.15747746255834894,2300
0.02905005134437999,0.15731186023163624,2400
0.029010129148304253,0.15749816284918805,2500
0.028970206952228628,0.1577672666300961,2600
0.028950245854190815,0.15754991357628578,2700
0.02884156876487376,0.15752921328544667,2800
0.029003475448958316,0.15751886314002717,2900
0.02897242485201068,0.1570634567415672,3e3
